Regulator	Target
Sox2	Fzd3
Suz12	Fzd3
Esrrb	Gabarapl2
Klf4	Gabarapl2
Sox2	Gabarapl2
Suz12	Gabarapl2
Tcf3	Gabarapl2
Esrrb	Galk1
Klf4	Galk1
Nanog	Galk1
Esrrb	Gata6
Ezh2	Gata6
Klf4	Gata6
Mybl2	Gata6
Nanog	Gata6
Sox2	Gata6
Suz12	Gata6
Tcf3	Gata6
Tuba1a	Gata6
Esrrb	Gdf3
Klf4	Gdf3
Nanog	Gdf3
Sox2	Gdf3
Tcf3	Gdf3
Zfp42	Gdf3
Esrrb	Gja1
Klf4	Gja1
Nanog	Gja1
Sox2	Gja1
Tbx3	Gja1
Tcf3	Gja1
Esrrb	Glud1
Nanog	Glud1
Sox2	Glud1
Tcf3	Glud1
Esrrb	Gm13154
Klf4	Gm13154
Sox2	Gm13154
Tcf3	Gm13154
Suz12	Gm5148
Esrrb	Gm5506
Tcf3	Gm5595
Klf4	Gm5860
Mybl2	Gm5860
Suz12	Gm5860
Tcf3	Gm5860
Dppa5a	Gm6710
Sox2	Gm7102
Suz12	Gm7102
Esrrb	Gmeb1
Nanog	Gmeb1
Sox2	Gmeb1
Esrrb	Gna13
Klf4	Gna13
Nanog	Gna13
Sox2	Gna13
Tcf3	Gna13
Zfp42	Gna13
Klf4	Gnai3
Tbx3	Gnai3
Zfp42	Gnai3
Ezh2	Gnas
Klf4	Gnas
Nanog	Gnas
Sox2	Gnas
Suz12	Gnas
Tcf3	Gnas
Zfp42	Gnas
Esrrb	Gnb2l1
Klf4	Gnb2l1
Sox2	Gnb2l1
Esrrb	Gnpda1
Klf4	Gnpda1
Nanog	Gnpda1
Ezh2	Gpc3
Klf4	Gpc3
Nanog	Gpc3
Sox2	Gpc3
Suz12	Gpc3
Tcf3	Gpc3
Esrrb	Gpx1
Klf4	Gpx1
Nanog	Gpx1
Sox2	Gpx1
Sox2	Gpx3
Tbx3	Gpx3
Tcf3	Gpx3
Klf4	Grlf1
Esrrb	Grsf1
Klf4	Grsf1
Nanog	Grsf1
Sox2	Grsf1
Tbx3	Grsf1
Tcf3	Grsf1
Zfp42	Grsf1
Esrrb	Gtf2i
Klf4	Gtf2i
Nanog	Gtf2i
Sox2	Gtf2i
Esrrb	H2-K1
Suz12	H2-K1
Klf4	H3f3b
Nanog	H3f3b
Sox2	H3f3b
Tcf3	H3f3b
Klf4	Hdlbp
Nanog	Hdlbp
Tcf3	Hdlbp
Zfp42	Hdlbp
Klf4	Hexb
Nanog	Hexb
Sox2	Hexb
Tcf3	Hexb
Nanog	Hmgb1
Sox2	Hmgb1
Tbx3	Hmgb1
Tcf3	Hmgb1-rs17
Esrrb	Hmgb2
Klf4	Hmgb2
Nanog	Hmgb2
Tcf3	Hmgb2
Zfp42	Hmgb2
Klf4	Hmgcs1
Klf4	Hmgn2
Klf4	Hn1
Esrrb	Hnrnpa0
Esrrb	Hnrnph1
Nanog	Hnrnph1
Esrrb	Hnrnpl
Tbx3	Hnrnpl
Esrrb	Hoxb2
Ezh2	Hoxb2
Nanog	Hoxb2
Suz12	Hoxb2
Tcf3	Hoxb2
Esrrb	Hsp90aa1
Klf4	Hsp90aa1
Nanog	Hsp90aa1
Sox2	Hsp90aa1
Tcf3	Hsp90aa1
Tbx3	Hsp90b1
Esrrb	Hspa5
Nanog	Hspa5
Sox2	Hspa5
Tcf3	Hspa5
Esrrb	Hspb1
Klf4	Hspb1
Nanog	Hspb1
Sox2	Hspb1
Tcf3	Hspb1
Zfp42	Hspb1
Esrrb	Hspd1
Klf4	Hspd1
Tcf3	Hspd1
Esrrb	Hsph1
Nanog	Hsph1
Esrrb	Iars
Sox2	Iars
Esrrb	Id3
Ezh2	Id3
Klf4	Id3
Nanog	Id3
Sox2	Id3
Suz12	Id3
Tbx3	Id3
Tcf3	Id3
Esrrb	Ifitm1
Klf4	Ifitm1
Nanog	Ifitm1
Sox2	Ifitm1
Suz12	Ifitm1
Tcf3	Ifitm1
Ezh2	Igf2
Klf4	Igf2
Nanog	Igf2
Suz12	Igf2
Tcf3	Igf2
Esrrb	Ilk
Nanog	Ilk
Sox2	Ilk
Suz12	Ilk
Tcf3	Ilk
Klf4	Inpp5d
Nanog	Inpp5d
Tcf3	Inpp5d
Klf4	Insig1
Zfp42	Insig1
Sox2	Itm2c
Tcf3	Itm2c
Esrrb	Itpa
Esrrb	Ivns1abp
Klf4	Ivns1abp
Nanog	Ivns1abp
Sox2	Ivns1abp
Tcf3	Ivns1abp
Esrrb	Jam2
Klf4	Jam2
Nanog	Jam2
Sox2	Jam2
Suz12	Jam2
Tcf3	Jam2
Zfp42	Jam2
Esrrb	Kank2
Klf4	Kank2
Nanog	Kank2
Tcf3	Kdelr2
Esrrb	Kdm1b
Klf4	Kdm1b
Nanog	Kdm1b
Suz12	Kdm1b
Klf4	Khdrbs1
Nanog	Khdrbs1
Sox2	Khdrbs1
Suz12	Khdrbs1
Tbx3	Khdrbs1
Tcf3	Khdrbs1
Esrrb	Kif23
Nanog	Kif23
Nanog	Kif3a
Sox2	Kif3a
Tcf3	Kif3a
Esrrb	Klf2
Klf4	Klf2
Nanog	Klf2
Sox2	Klf2
Suz12	Klf2
Tbx3	Klf2
Tcf3	Klf2
Esrrb	Klf4
Nanog	Klf4
Sox2	Klf4
Suz12	Klf4
Tbx3	Klf4
Tcf3	Klf4
Esrrb	Klf9
Klf4	Klf9
Nanog	Klf9
Sox2	Klf9
Tbx3	Klf9
Tcf3	Klf9
Zfp42	Klf9
Esrrb	Klhl22
Ezh2	Klhl22
Klf4	Klhl22
Nanog	Klhl22
Sox2	Klhl22
Sox2	Kpna2
Esrrb	Krt8
Klf4	Krt8
Mybl2	Krt8
Nanog	Krt8
Sox2	Krt8
Suz12	Krt8
Tbx3	Krt8
Tcf3	Krt8
Zfp42	Krt8
Klf4	Lactb2
Nanog	Lactb2
Tcf3	Lactb2
Zfp42	Lactb2
Esrrb	Lama1
Klf4	Lama1
Nanog	Lama1
Sox2	Lama1
Suz12	Lama1
Tcf3	Lama1
Klf4	Lamb1
Esrrb	Lamc1
Klf4	Lamc1
Nanog	Lamc1
Sox2	Lamc1
Tcf3	Lamc1
Klf4	Lap3
Nanog	Lap3
Sox2	Lap3
Tcf3	Lap3
Esrrb	Laptm5
Klf4	Laptm5
Mybl2	Laptm5
Sox2	Laptm5
Suz12	Laptm5
Tcf3	Laptm5
Klf4	Larp7
Nanog	Larp7
Sox2	Larp7
Tbx3	Larp7
Tcf3	Larp7
Esrrb	Ldha
Klf4	Ldha
Nanog	Ldha
Sox2	Ldha
Esrrb	Ldhb
Klf4	Ldhb
Nanog	Ldhb
Sox2	Ldhb
Tcf3	Ldhb
Esrrb	Lefty2
Klf4	Lefty2
Nanog	Lefty2
Sox2	Lefty2
Suz12	Lefty2
Tbx3	Lefty2
Tcf3	Lefty2
Esrrb	Lgals1
Klf4	Lgals1
Nanog	Lgals1
Sox2	Lgals1
Suz12	Lgals1
Tcf3	Lgals1
Klf4	Lima1
Nanog	Lima1
Sox2	Lima1
Tbx3	Lima1
Tcf3	Lima1
Esrrb	Lrp2
Ezh2	Lrp2
Klf4	Lrp2
Nanog	Lrp2
Sox2	Lrp2
Suz12	Lrp2
Tbx3	Lrp2
Esrrb	Lrpap1
Klf4	Lrpap1
Nanog	Lrpap1
Sox2	Lrpap1
Tcf3	Lrpap1
Tcf3	Lrrc58
Esrrb	Lrrc59
Klf4	Lrrc59
Klf4	Lsm6
Tcf3	Lsm6
Esrrb	Lsr
Klf4	Lsr
Sox2	Lsr
Tcf3	Lsr
Esrrb	Luc7l2
Klf4	Luc7l2
Sox2	Luc7l2
Tcf3	Luc7l2
Zfp42	Luc7l2
Nanog	Maged1
Sox2	Maged1
Tcf3	Maged1
Esrrb	Malat1
Mybl2	Malat1
Tcf3	Malat1
Esrrb	Mapk14
Nanog	Mapk14
Tcf3	Mapk14
Esrrb	Mapre2
Klf4	Mapre2
Nanog	Mapre2
Sox2	Mapre2
Suz12	Mapre2
Tbx3	Mapre2
Klf4	Marcksl1
Sox2	Marcksl1
Tcf3	Marcksl1
Esrrb	Mars
Klf4	Mars
Sox2	Mars
Klf4	Mdk
Nanog	Mdk
Sox2	Mdk
Tcf3	Mdk
Klf4	Mdm4
Nanog	Mdm4
Sox2	Mdm4
Tcf3	Mdm4
Klf4	Me2
Tcf3	Me2
Esrrb	Med13l
Sox2	Med13l
Dppa5a	Meis2
Esrrb	Meis2
Klf4	Meis2
Nanog	Meis2
Sox2	Meis2
Suz12	Meis2
Klf4	Mest
Suz12	Mest
Esrrb	Mettl9
Nanog	Mettl9
Esrrb	Mfsd11
Sox2	Mfsd11
Esrrb	Mir692-1
Esrrb	Mkrn1
Klf4	Mkrn1
Nanog	Mkrn1
Sox2	Mkrn1
Tcf3	Mkrn1
Zfp42	Mkrn1
Esrrb	Mllt6
Klf4	Mllt6
Nanog	Mllt6
Sox2	Mllt6
Tbx3	Mllt6
Tcf3	Mllt6
Zfp42	Mllt6
Esrrb	Morc1
Klf4	Morc1
Nanog	Morc1
Sox2	Morc1
Suz12	Morc1
Tbx3	Morc1
Tcf3	Morc1
Nanog	Morf4l2
Esrrb	Mpv17l
Klf4	Mpv17l
Nanog	Mpv17l
Suz12	Mpv17l
Tcf3	Mpv17l
Klf4	Msh2
Nanog	Msh2
Sox2	Msh2
Tcf3	Msh2
Esrrb	Mt1
Klf4	Mt1
Nanog	Mt1
Sox2	Mt1
Suz12	Mt1
Tcf3	Mt1
Esrrb	Mt2
Klf4	Mt2
Nanog	Mt2
Sox2	Mt2
Suz12	Mt2
Tcf3	Mt2
Esrrb	Mtf2
Klf4	Mtf2
Nanog	Mtf2
Sox2	Mtf2
Tbx3	Mtf2
Tcf3	Mtf2
Zfp42	Mtf2
Esrrb	Mybl2
Klf4	Mybl2
Nanog	Mybl2
Sox2	Mybl2
Suz12	Mybl2
Tbx3	Mybl2
Tcf3	Mybl2
Esrrb	Myh10
Sox2	Myh10
Suz12	Myh10
Esrrb	Mylpf
Klf4	Mylpf
Nanog	Mylpf
Sox2	Mylpf
Suz12	Mylpf
Tbx3	Mylpf
Tcf3	Mylpf
Esrrb	Nanog
Klf4	Nanog
Sox2	Nanog
Suz12	Nanog
Tcf3	Nanog
Sox2	Nars
Zfp42	Nars
Klf4	Nasp
Tcf3	Nasp
Esrrb	Ndufb2
Nanog	Ndufb2
Esrrb	Ndufb4
Klf4	Ndufb4
Nanog	Ndufb4
Sox2	Ndufb4
Tcf3	Ndufb4
Nanog	Nedd4
Sox2	Nedd4
Tcf3	Nedd4
Klf4	Nedd8
Tcf3	Nedd8
Esrrb	Nfatc2ip
Klf4	Nfatc2ip
Nanog	Nfatc2ip
Sox2	Nfatc2ip
Suz12	Nfatc2ip
Tcf3	Nfatc2ip
Sox2	Nfu1
Nanog	Ngfrap1
Tcf3	Ngfrap1
Klf4	Npc2
Zfp42	Npc2
Klf4	Nr6a1
Nanog	Nr6a1
Sox2	Nr6a1
Suz12	Nr6a1
Tcf3	Nr6a1
Esrrb	Nt5dc2
Klf4	Nt5dc2
Sox2	Nt5dc2
Suz12	Nt5dc2
Esrrb	Ogdh
Esrrb	Ostc
Nanog	Ostf1
Sox2	Ostf1
Tcf3	Ostf1
Sox2	P4hb
Tcf3	P4hb
Zfp42	P4hb
Klf4	Pabpc1
Tcf3	Pabpc1
Esrrb	Pbx1
Klf4	Pbx1
Nanog	Pbx1
Sox2	Pbx1
Tbx3	Pbx1
Tcf3	Pbx1
Zfp42	Pbx1
Esrrb	Pcbp1
Klf4	Pcbp1
Zfp42	Pcbp1
Esrrb	Pcmtd1
Klf4	Pcmtd1
Nanog	Pcmtd1
Sox2	Pcmtd1
Tbx3	Pcmtd1
Klf4	Pdcd5
Nanog	Pdcd5
Esrrb	Pdgfa
Klf4	Pdgfa
Nanog	Pdgfa
Sox2	Pdgfa
Suz12	Pdgfa
Tcf3	Pdgfa
Esrrb	Pdia3
Nanog	Pdia6
Sox2	Pdia6
