Regulator	Target
ESRRB	FOXD3
NR0B1	FOXD3
POU5F1	FOXD3
NANOG	FOXD3
JARID2	FOXD3
KLF4	FOXD3
SALL4	FOXD3
SOX2	ETV4
ESRRB	ETV4
SOX17	ETV4
NR0B1	ETV4
ZFP42	ETV4
POU5F1	ETV4
NANOG	ETV4
JARID2	ETV4
TBX3	ETV4
KLF4	ETV4
SALL4	ETV4
SOX2	MYBL2
ESRRB	MYBL2
SOX17	MYBL2
NR0B1	MYBL2
POU5F1	MYBL2
NANOG	MYBL2
JARID2	MYBL2
TBX3	MYBL2
KLF4	MYBL2
SALL4	MYBL2
SOX2	TEAD4
POU5F1	TEAD4
NANOG	TEAD4
KLF4	TEAD4
SALL4	TEAD4
ESRRB	HMGA2
ZFP42	HMGA2
POU5F1	HMGA2
NANOG	HMGA2
JARID2	HMGA2
SMAD7	HMGA2
KLF4	HMGA2
SALL4	HMGA2
SOX2	GLI2
ESRRB	GLI2
POU5F1	GLI2
NANOG	GLI2
MYCN	GLI2
TBX3	GLI2
KLF4	GLI2
SOX2	MSX2
ESRRB	MSX2
SOX17	MSX2
NR0B1	MSX2
ZFP42	MSX2
POU5F1	MSX2
NANOG	MSX2
JARID2	MSX2
KLF4	MSX2
REST	MSX2
SALL4	MSX2
SOX2	WHSC1
POU5F1	WHSC1
NANOG	WHSC1
KLF4	WHSC1
SOX2	KLF4
ESRRB	KLF4
SOX17	KLF4
NR0B1	KLF4
POU5F1	KLF4
NANOG	KLF4
TBX3	KLF4
SOX2	MTF2
ESRRB	MTF2
SOX17	MTF2
ZFP42	MTF2
POU5F1	MTF2
NANOG	MTF2
JARID2	MTF2
MYCN	MTF2
TBX3	MTF2
KLF4	MTF2
SALL4	MTF2
SOX2	RHOX6
ESRRB	RHOX6
NR0B1	RHOX6
POU5F1	RHOX6
NANOG	RHOX6
JARID2	RHOX6
MSC	RHOX6
TBX3	RHOX6
SALL4	RHOX6
SOX2	ID3
ESRRB	ID3
NR0B1	ID3
POU5F1	ID3
NANOG	ID3
MSC	ID3
ID1	ID3
TBX3	ID3
KLF4	ID3
TCF7L2	ID3
SOX2	ZFP428
ESRRB	ZFP428
SOX17	ZFP428
NR0B1	ZFP428
POU5F1	ZFP428
NANOG	ZFP428
TBX3	ZFP428
KLF4	ZFP428
SOX2	REST
ESRRB	REST
SOX17	REST
NR0B1	REST
ZFP42	REST
POU5F1	REST
NANOG	REST
JARID2	REST
KLF4	REST
SOX2	PURB
ESRRB	PURB
POU5F1	PURB
NANOG	PURB
MYCN	PURB
TBX3	PURB
SOX2	PHB
ESRRB	PHB
POU5F1	PHB
NANOG	PHB
TBX3	PHB
ESRRB	ZC3H7A
POU5F1	ZC3H7A
KLF4	ZC3H7A
SALL4	ZC3H7A
ESRRB	ERF
NANOG	ERF
JARID2	ERF
SOX2	TET2
POU5F1	TET2
NANOG	TET2
TBX3	TET2
KLF4	TET2
SOX2	SATB2
NR0B1	SATB2
POU5F1	SATB2
NANOG	SATB2
JARID2	SATB2
KLF4	SATB2
REST	SATB2
SALL4	SATB2
SOX2	ZFP296
ESRRB	ZFP296
POU5F1	ZFP296
NANOG	ZFP296
JARID2	ZFP296
MYCN	ZFP296
KLF4	ZFP296
SALL4	ZFP296
SOX2	AFF1
ESRRB	AFF1
POU5F1	AFF1
NANOG	AFF1
JARID2	AFF1
SMAD7	AFF1
KLF4	AFF1
REST	AFF1
TCF7L2	AFF1
SOX2	TCF7L2
SOX17	TCF7L2
POU5F1	TCF7L2
NANOG	TCF7L2
KLF4	TCF7L2
SOX2	ZFP532
ESRRB	ZFP532
SOX17	ZFP532
ZFP42	ZFP532
POU5F1	ZFP532
NANOG	ZFP532
KLF4	ZFP532
SALL4	ZFP532
SOX2	ZBTB44
ESRRB	ZBTB44
ZFP42	ZBTB44
POU5F1	ZBTB44
NANOG	ZBTB44
MYCN	ZBTB44
TBX3	ZBTB44
KLF4	ZBTB44
ESRRB	ELF2
SOX2	ETS1
ZFP42	ETS1
TBX3	ETS1
TCF7L2	ETS1
SALL4	ETS1
SOX2	JUN
ESRRB	JUN
POU5F1	JUN
JARID2	JUN
KLF4	JUN
SALL4	JUN
POU5F1	BMYC
MSC	BMYC
SMAD7	BMYC
SOX2	POU4F2
ESRRB	POU4F2
POU5F1	POU4F2
NANOG	POU4F2
JARID2	POU4F2
KLF4	POU4F2
REST	POU4F2
SALL4	POU4F2
ESRRB	DDIT3
SOX17	DDIT3
NR0B1	DDIT3
POU5F1	DDIT3
NANOG	DDIT3
MSC	DDIT3
MYCN	DDIT3
MYBL2	DDIT3
SOX2	SALL4
ESRRB	SALL4
NR0B1	SALL4
POU5F1	SALL4
NANOG	SALL4
JARID2	SALL4
TBX3	SALL4
KLF4	SALL4
SOX2	ZFP462
ESRRB	ZFP462
POU5F1	ZFP462
NANOG	ZFP462
